frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
10505,43,0,0,590.0,284.0,17.9,13.0
10507,43,0,0,584.9,282.8,19.3,14.2
10508,43,0,0,584.1,282.7,20.3,14.7
10509,43,0,0,581.9,283.0,21.6,15.6
10510,43,0,0,579.6,282.3,20.5,16.4
10511,43,0,0,578.3,282.1,20.8,17.2
10512,43,0,0,576.7,282.2,21.6,17.3
10513,43,0,0,575.1,282.1,21.8,17.2
10514,43,0,0,572.3,280.9,23.7,17.9
10515,43,0,0,571.2,281.2,24.0,18.2
10516,43,0,0,568.9,281.3,24.3,18.7
10517,43,0,0,566.2,280.6,24.6,18.7
10518,43,0,0,564.9,281.2,24.4,18.6
10519,43,0,0,563.8,281.2,24.9,19.0
10520,43,0,0,561.2,280.4,26.1,19.6
10521,43,0,0,559.3,280.5,26.8,19.4
10522,43,0,0,557.3,280.6,27.2,20.0
10523,43,0,0,555.3,280.8,28.0,19.7
10524,43,0,0,553.8,280.7,27.4,19.5
10525,43,0,0,552.0,280.7,27.6,20.3
10526,43,0,0,549.5,280.7,29.6,20.0
10527,43,0,0,546.6,279.3,30.5,21.1
10528,43,0,0,545.0,279.1,29.3,21.5
10529,43,0,0,544.0,279.5,28.5,21.3
10530,43,0,0,542.0,279.3,29.5,21.4
10531,43,0,0,538.7,278.8,31.5,22.1
10532,43,0,0,536.6,278.9,31.6,22.0
10533,43,0,0,534.8,278.5,32.1,22.5
10534,43,0,0,532.4,279.0,32.6,22.3
10535,43,0,0,529.8,277.9,34.1,23.9
10540,43,0,0,520.3,277.9,34.8,24.3
10542,43,0,0,515.7,275.9,37.0,26.1
10543,43,0,0,513.5,275.6,37.5,26.7
10544,43,0,0,512.6,276.5,37.7,26.1
10545,43,0,0,510.5,276.2,38.5,26.7
10548,43,0,0,505.0,275.3,39.6,27.2
10552,43,0,0,498.5,274.5,41.6,27.9
10553,43,0,0,496.4,273.4,42.5,28.5
10554,43,0,0,495.5,273.8,42.3,28.6
10555,43,0,0,494.5,273.2,41.2,29.0
10556,43,0,0,492.7,273.5,41.8,28.8
10559,43,0,0,487.4,272.5,43.0,29.4
10611,43,0,0,0.0,214.9,102.2,72.1
10612,43,0,0,1.2,211.9,72.8,75.5
10613,43,0,0,1.0,214.4,44.4,66.8
10614,43,0,0,0.3,211.2,16.1,54.5
