frame_number,track_id,class_id,score,x_topleft,y_topleft,width,height
10246,42,-1,-1,285.5,209.8,11.8,9.4
10247,42,-1,-1,287.4,211.2,13.3,10.1
10248,42,-1,-1,289.6,211.8,13.8,10.4
10249,42,-1,-1,293.7,212.1,11.6,10.9
10250,42,-1,-1,294.5,212.2,14.0,11.6
10251,42,-1,-1,297.6,213.6,13.7,12.6
10252,42,-1,-1,299.5,214.7,14.7,13.0
10253,42,-1,-1,300.0,214.9,17.3,13.3
10254,42,-1,-1,303.2,215.5,17.0,14.6
10255,42,-1,-1,306.7,215.5,16.9,15.7
10256,42,-1,-1,309.4,217.2,18.7,16.2
10257,42,-1,-1,311.4,219.2,20.8,16.2
10258,42,-1,-1,316.4,221.6,19.8,16.7
10259,42,-1,-1,318.9,221.7,22.1,17.6
10260,42,-1,-1,323.6,221.7,22.8,19.4
10261,42,-1,-1,326.8,224.3,24.7,20.1
10262,42,-1,-1,332.0,227.0,26.8,20.3
10263,42,-1,-1,337.2,228.4,28.3,22.4
10264,42,-1,-1,342.6,230.7,29.9,22.8
10265,42,-1,-1,348.5,232.1,31.6,25.6
10266,42,-1,-1,355.4,236.0,34.0,26.5
10267,42,-1,-1,361.6,239.5,39.7,28.4
10268,42,-1,-1,368.9,242.7,43.9,31.9
10269,42,-1,-1,382.9,246.7,45.2,34.8
10270,42,-1,-1,393.8,250.7,51.9,38.2
10271,42,-1,-1,410.4,255.5,55.8,45.2
10272,42,-1,-1,427.2,265.0,62.9,48.4
10273,42,-1,-1,443.0,272.7,77.4,55.4
10274,42,-1,-1,463.8,282.9,92.2,67.3
10275,42,-1,-1,495.4,295.6,111.8,79.4
10276,42,-1,-1,539.3,309.7,96.3,84.8
10277,42,-1,-1,579.0,331.6,59.1,88.5
